english;français
I'm unfamiliar with his writings.;Je connais mal ses écrits.
I was sorry to hear about your father's death.;J'ai été désolé d'apprendre la mort de votre père.
It was love at first sight.;Ca a été le coup de foudre.
I've got a degree in maths.;J'ai une licence de mathématiques.
a renewal;un renouvellement
Let's get rid of that.;Débarrassons-nous de ça.
You're really getting on my nerves with your stupid comments.;Tu commences vraiment à me taper sur les nerfs avec tes commentaires stupides.
This meat's too tough to cut.;Cette viande est trop coriace pour être coupée.
You can't tell them apart.;Tu ne peux pas les distinguer.
a back-packer;un randonneur
Saturday doesn't suit me.;Samedi ne me convient pas.
web hosting;l'hébergement web
He stopped smoking last week.;Il a arrêté de fumer la semaine dernière.
What do you want to see me about?;A quel sujet voulez-vous me voir ?
Do you have any vacancies for tonight?;Avez-vous des chambres de libre pour cette nuit ?
Quiet, please!;Silence, s'il vous plaît !
We are gaining ground on our competitors.;Nous gagnons du terrain sur nos concurrents.
gallivanting (common name);le flirt
a pyre;un bûcher
I want my money back.;Je veux être remboursé.
I'm just following orders.;Je ne fais qu'exécuter les ordres.
This is just a small gift to say thank you.;Ce n'est qu'un petit quelque chose pour vous remercier.
The odd cigarette or two won't do you any harm.;Une cigarette par-ci par-là ne vous fera pas de mal.
What are the sights not to be missed?;Quelles sont les choses à voir absolument ?
a doll;une poupée
It's easier said than done.;C'est plus facile à dire qu'à faire.
I have cracked lips.;J'ai les lèvres gercées.
an inference;une déduction, une conclusion (i…)
a misstep;un faux-pas
She really put her foot in it!;Elle a vraiment fait une gaffe !
a wee orchard;un petit verger
I have a phobia of spiders.;J'ai la phobie des araignées.
I have every intention of calling her.;J'ai bien l'intention de l'appeler.
a rhyme;une rime
I’ll give you my two cents.;Je vais te donner mon grain de sel.
Lord Young is to lead the enquiry.;Lord Young va mener l'enquête (journalistique).
Can I try it on?;Puis-je l'essayer ?
a chunk;un tronçon
port and starboard;babord et tribord
to yearn for;désirer (to y…)
I'm afraid the news is quite bad.;J'ai bien peur que les nouvelles soient plutôt mauvaises
Tell me what's worrying you.;Dis-moi ce qui te tracasse.
I didn't think she had it in her.;Je ne l'en croyais pas capable.
lest…;de peur de …
to knit;tricoter
a flagship;un vaisseau amiral
a board;un comité, un conseil, une commission
The last time we ate there, we got ripped off.;La dernière fois que nous avons mangé là-bas, nous nous sommes fait roulés (argot).
slack (adj.);mou, relâché
You don't sound to me like your average factory girl.;Tu n'as pas l'air d'être une ouvrière comme les autres.
He went there out of curiosity.;Il y est allé par curiosité.
to scrap;mettre au rebut
to dress a wound;panser une plaie
a whitepaper;un rapport d'autorité donnant des information ou des propositions sur un sujet
per capita;par habitant
To make our company recession proof, …;Pour mettre notre société à l'abri de la récession, …
Is there an intermission?;Y a-t-il un entr'acte ?
A huge shoutout and thanks to Mark.;Un grand bravo et merci à Marc.
to give a lift;amener à … (en véhicule)
to enhance;accroître, augmenter / mettre en valeur
I sold them at a profit.;Je les ai revendus avec un bénéfice.
She fell to the floor in a faint.;Elle est tombée en syncope.
She offered me £800 for my car.;Elle m'a offert £800 pour ma voiture.
a peek;un coup d'œil
a pomegranate;une grenade (le fruit)
Things are looking up.;Les choses se présentent plutôt bien.
We look forward to seeing you soon.;Nous nous réjouissons à l'idée de vous voir bientôt.
to enthrall;captiver, séduire / réduire en esclavage
How much is that purse?;Combien coûte ce porte-monnaie ?
Do you have a safe for valuables?;Avez-vous un coffre pour les objets de valeur ?
They charged us well over the odds.;Ils nous ont fait payer bien au dessus de la normale.
whenever you like;quand tu voudras
up to scratch;à la hauteur
It's all over between us.;Tout est fini entre nous.
Do you sell batteries?;Vendez-vous des piles ?
a culprit;un coupable
Don't argue with me!;Ne me contredisez pas !
What do you advise me to do?;Qu'est-ce que tu me conseilles de faire ?
The name of a product will often change from a market to another throughout the world.;Le nom d'un produit change souvent d'un pays à l'autre.
I don't want a cat. You get hairs everywhere.;Je ne veux pas de chat. On a des poils partout.
The fight was called off.;Le combat a été annulé.
to wield a bat;manier une batte (de cricket)
Where is it sore?;Où as-tu mal ?
movie dubbing;le doublage d'un film
His hair is brown.;Ses cheveux sont bruns.
Deep down, he's very kind.;Au fond, il est très gentil.
Britain's old colonial empire spanned at one time one-third of the surface of the globe.;L'empire colonial britannique a couvert à une époque un tiers de la surface du globe.
That's fair enough, but don't you think that… ?;Très bien, mais est-ce que tu ne penses pas que … ?
We reserved under the name of Smith.;Nous avons réservé au nom de Smith.
Do you like opera? I can take it or leave it.;Vous aimez l'opéra ? Pas plus que cela.
to match;égaler (m…)
sellotape;du scotch
Could you tell me if the meeting is taking place?;Pourriez-vous me dire si la réunion aura bien lieu ?
There wasn't a crust to eat in the house.;Il n'y avait rien à manger dans la maison.
I'm trying to give up.;J'essaie d'arrêter.
a swarm;un essaim, une nuée
When I'm 84 years old,  …;Quand j'aurai 84 ans, …
a switch (techn.);un interrupteur
You deserve it.;Tu le mérites.
What's the hurry?;Qu'est-ce qui presse tant ?
whereas;tandis que
presently;tout à l’heure / à présent (USA)
to shuffle;brouiller, mêler / remanier
She met first with Bill Hayward.;Elle a d'abord rencontré Bill Hayward.
plumes of smoke;des panaches de fumée
He gets tired easily.;Il se fatigue facilement.
We gave her a poney as a present.;Nous lui avons fait cadeau d'un poney.
He was a child prodigy.;Il était un enfant prodige.
The security guards searched the suitcases thoroughly.;Les gardes de sécurité ont fouillé les valises à fond.
He was a child prodigy.;Il était un enfant prodige.
He looked at her in wonder.;Il la regarda avec admiration.
Fancy driving sixty miles just to go to a party!;On a pas idée de faire 60 miles juste pour aller faire la fête !
He was successfully operated on for a stomach ulcer.;Il a été opéré avec succès d'un ulcère à l'estomac.
the sewage system;les égouts
Do you have something for blisters?;Avez-vous quelque chose pour les ampoules ?
When he said that, I didn't know where to put my face!;Lorsqu'il a dit ça, je ne savais plus où me mettre !
He was anxious for them to go.;Il attendait impatiemment qu'ils partent.
Needless to say that …;Inutile de dire que …
the wardrobe;la garde-robe
popular;qui a du succès
a nugget;une pépite
to put one's money where one's mouth is;joindre l'acte à la parole
We will round off this lesson with a story.;Nous terminerons cette leçon avec une histoire.
a Limited Liability Company (UK);une S.A.R.L.
teal (adj.);sarcelle (turquoise clair)
craft (common name);l'artisanat
to get through;obtenir la communication / achever, venir à bout de
the juniper;le genévrier
hooves;les sabots
Excuse me, where is the duty chemist?;Excusez-moi, où est la pharmacie de garde ?
What size are you?;Quelle taille faites-vous ?
an imbalance;un déséquilibre
This calls for a celebration!;Il faut fêter ça !
That's a tall order (expr.);C'est beaucoup demander
a seaside resort;une station balnéaire
a comic strip;une bande dessinée
Fortunately, Leeds is not far away.;Heureusement, Leeds n'est pas loin.
an affair;une liaison (amoureuse)
a stock market flotation;une introduction en bourse
pelts;des peaux de bête
a magnitude;un ordre de grandeur
They helped me out with a loan when I had problems with the tax people.;Ils m'ont dépanné d'un prêt quand j'ai eu des problèmes avec le fisc.
Where are the frozen foods?;Où se trouvent les plats surgelés ?
to sully;souiller
gross;brut (écon.)
He played two encores.;"Il joua deux ""bis""."
At that time, my father had known my mother for six years.;A ce moment-là, mon père connaissait ma mère depuis six ans
a by-product;un produit dérivé
Unlike Mr Smith, ...;Contrairement à M. Smith, ...
I was mixing you up with your brother.;Je vous confondais avec votre frère.
the righteousness;la droiture, la vertu
the opportunity;l'occasion
to have a day off;avoir une journée de congé
a plough;une charrue
I have to drop off my wife at the airport at nine.;Je dois déposer ma femme à l'aéroport à 9 heures.
She drained her glass.;Elle a bu cul-sec.
The rehearsal went well.;La répétition s'est bien passée.
an endeavour;un effort
a feat;un exploit (f…)
at the whim of …;au gré de …
Cricket is looked on as an institution in Australia.;Le cricket est considéré comme une institution en Australie.
Put on some warm clothes.;Mettez des vêtements chauds.
I'm in two minds about going.;J'hésite à y aller.
the membership;l'adhésion / le nombre des membres
She had a spot soft for Dan.;Elle avait un faible pour Dan.
Break a leg!;Bonne chance !
I doubt it.;J'en doute.
a spindle;une broche
hail (expr. / common name);salut / la grêle
Like father, like son.;Tel père, tel fils.
overarching;global (o…)
to show one's true colours;se montrer sous son vrai jour
I'm going to be absent from work for several months.;Je vais être absent du travail pendant plusieurs mois.
I'll make a note of it.;Je vais le noter.
by proxy;par procuration
Would you mind if …?;Cela vous dérangerait-il si … ?
to find out;se renseigner, trouver, découvrir
mashed potatoes;de la purée de pomme de terre
to burp;roter
a turd;un con, un couillon (a t…)
the navel;le nombril
tax;les impôts
He has taken to stay in bed till noon.;Il s'est mis à rester au lit jusqu'à midi.
the dean;le doyen
earnestness;le sérieux
hiccup (common name);le hoquet
native to;originaire de
It happens all too often.;Cela arrive bien trop souvent.
to mellow;mûrir, s'adoucir, rendre moelleux
lush;luxuriant
a probe;une sonde
the tortoise (tortus');la tortue
a bolt;un boulon
Don't make up your mind straight away. Think about it for a bit.;Ne vous faites pas votre avis sur la question tout de suite. Réfléchissez-y un moment.
There was a small dent in the casing, so the salesman knocked off 10%.;Il y avait une petite bosse dans le carter, et le vendeur a fait un rabais de 10%.
I will retire when I'm thirty.;Je prendrai ma retraite quand j'aurai 30 ans.
an equity;une action (finance, e…)
If you don't pay the bill, they'll cut off the electricity.;Si tu ne paies pas ta facture, ils vont te couper l'électricité.
Could you write that down for me, please?;Pourriez-vous me l'écrire s'il vous plaît ?
I stared at him aghast.;Je l'ai regardé, atteré.
She was banned from driving for a year.;Elle a eu une suspension de permis de conduire d'un an.
scorched-earth policy;la politique de la terre brûlée
Kate has arrived in Norwich.;Kate est arrivée à Norwich.
unwed (adj.);célibataire (u...)
to hearken;écouter
I don't believe in fairies!;Je ne crois pas aux contes de fée !
to come to an end;toucher à sa fin
