Date;% test;% rattrapage
29/10/2022;0;0
29/10/2022;83;71
29/10/2022;75;100
30/10/2022;55;67
06/11/2022;80;100
13/11/2022;50;89
13/11/2022;70;100
20/11/2022;80;100
20/11/2022;80;100
26/11/2022;80;88
27/11/2022;80;100
04/12/2022;78;100
11/12/2022;75;90
18/12/2022;73;91
25/12/2022;70;92
01/01/2023;82;83
02/01/2023;85;100
08/01/2023;66;90
10/01/2023;90;75
16/01/2023;70;100
22/01/2023;73;100
29/01/2023;83;100
01/02/2023;83;86
03/02/2023;76;88
04/02/2023;80;88
05/02/2023;76;87
06/02/2023;86;100
07/02/2023;73;82
08/02/2023;74;100
09/02/2023;82;78
10/02/2023;91;50
11/02/2023;85;100
12/02/2023;73;91
13/02/2023;77;91
14/02/2023;95;100
15/02/2023;76;75
18/02/2023;95;100
18/02/2023;80;85
19/02/2023;88;100
20/02/2023;77;83
21/02/2023;69;100
22/02/2023;88;100
23/02/2023;95;100
24/02/2023;88;100
25/02/2023;80;100
26/02/2023;90;75
27/02/2023;83;100
28/02/2023;80;88
01/03/2023;67;100
