English;Français;Date;Nb;Score;Taux;Good image;Taux2
brisk;vif (b…);09/03/2011;0;0;0;1,125;-1,13
a slump;une baisse, un effondrement;09/03/2011;0;0;0;1,125;-1,13
to get a tan;bronzer;09/03/2011;0;0;0;1,125;-1,13
a pit;une fosse;09/03/2011;0;0;0;1,125;-1,13
to deceive;tromper;09/03/2011;1;1;1;1,1125;-0,11
the inroad;l'incursion, l'empiètement;09/03/2011;1;1;1;1,1125;-0,11
a yield;une production, un rendement (y…);09/03/2011;1;1;1;1,1125;-0,11
versatile;polyvalent;09/03/2011;2;2;1;1,1;-0,1
hazy;vague;09/03/2011;2;2;1;1,1;-0,1
electrical appliances;les appareils électro-ménagers;09/03/2011;2;2;1;1,1;-0,1
to evade;éviter;09/03/2011;2;0;0;1,1;-1,1
hasty;précipité, sommaire;09/03/2011;2;-2;-1;1,1;-2,1
a crackdown;une répression;09/03/2011;3;3;1;1,0875;-0,09
to sweep;balayer;09/03/2011;3;3;1;1,0875;-0,09
an armchair;un fauteuil;09/03/2011;3;3;1;1,0875;-0,09
to fancy;s'imaginer;09/03/2011;3;3;1;1,0875;-0,09
a thrust;une poussée;09/03/2011;3;3;1;1,0875;-0,09
an overflow;un débordement, des inondations;09/03/2011;3;-3;-1;1,0875;-2,09
a hardship;une fatigue, une épreuve;09/03/2011;3;-3;-1;1,0875;-2,09
to clutter;encombrer;09/03/2011;4;4;1;1,075;-0,08
thrifty;économe (th…);09/03/2011;4;2;0,5;1,075;-0,58
in the limelight;sous les feux de la rampe;09/03/2011;4;2;0,5;1,075;-0,58
to deliver;distribuer;09/03/2011;4;0;0;1,075;-1,08
nimble (adj.);agile, leste;09/03/2011;4;-4;-1;1,075;-2,08
to monitor;surveiller;09/03/2011;5;5;1;1,0625;-0,06
to hint;insinuer, suggérer (h…);09/03/2011;6;6;1;1,05;-0,05
an apron;un tablier;09/03/2011;6;6;1;1,05;-0,05
allegedly;prétendument;09/03/2011;6;2;0,333333333;1,05;-0,72
an outbreak;une éruption, une explosion;09/03/2011;6;-2;-0,333333333;1,05;-1,38
namely;à savoir;09/03/2011;7;7;1;1,0375;-0,04
a misconception;une idée fausse;09/03/2011;7;7;1;1,0375;-0,04
a solicitor (UK);un avocat (s…, UK);09/03/2011;7;5;0,714285714;1,0375;-0,32
a lane;une voie d'autoroute;09/03/2011;7;5;0,714285714;1,0375;-0,32
to fetch smbdy;venir chercher quelqu'un;09/03/2011;7;5;0,714285714;1,0375;-0,32
a streak;une rayure, une trace;09/03/2011;8;6;0,75;1,025;-0,28
a dam;un barrage;09/03/2011;8;6;0,75;1,025;-0,28
utter;complet, absolu (u…);09/03/2011;8;6;0,75;1,025;-0,28
to keen;désirer (k…);09/03/2011;9;9;1;1,0125;-0,01
hectic;(un rythme) effréné (h…);09/03/2011;9;7;0,777777778;1,0125;-0,23
genuine;authentique (g…);09/03/2011;10;8;0,8;1;-0,2
a proficiency;une capacité (p…);09/03/2011;11;9;0,818181818;0,9875;-0,17
scarcely;à peine;09/03/2011;11;9;0,818181818;0,9875;-0,17
from now on;à partir de maintenant;09/03/2011;12;8;0,666666667;0,975;-0,31
How far is it from here?;Est-ce que c'est loin d'ici ?;09/03/2011;12;8;0,666666667;0,975;-0,31
to lurk;se cacher (to l…);09/03/2011;12;8;0,666666667;0,975;-0,31
Paying John a visit;Rendre visite à John;09/03/2011;13;11;0,846153846;0,9625;-0,12
to wrestle with;lutter contre (w…);09/03/2011;13;9;0,692307692;0,9625;-0,27
go-ahead;actif (g…);09/03/2011;13;7;0,538461538;0,9625;-0,42
divisive;qui sème la discorde;09/03/2011;14;10;0,714285714;0,95;-0,24
a syllabus;un programme scolaire;09/03/2011;14;10;0,714285714;0,95;-0,24
How about a cup of tea?;Que dirais-tu d'une tasse de thé ?;09/03/2011;14;10;0,714285714;0,95;-0,24
What good is …?;A quoi sert … ?;09/03/2011;14;8;0,571428571;0,95;-0,38
How long does it take?;Combien de temps cela dure-t-il ?;09/03/2011;14;6;0,428571429;0,95;-0,52
It turns out that ...;Il semble que …;09/03/2011;14;6;0,428571429;0,95;-0,52
a jolt / a joggle / a justle;une secousse (j…);09/03/2011;15;1;0,066666667;0,9375;-0,87
a realm;un domaine (r…);09/03/2011;16;14;0,875;0,925;-0,05
a dump;un tas, un amas, un dépôt (d…);09/03/2011;21;17;0,80952381;0,8625;-0,05
sound (adj.);sain;05/09/2013;0;0;0;1,125;-1,13
a sore throat;un mal de gorge;05/09/2013;0;0;0;1,125;-1,13
to maim;estropier, mutiler;05/09/2013;1;1;1;1,1125;-0,11
