english;français;Date;Nb;Score;Taux;bad_word;Query
a canister;une boîte. un bidon;01/01/2023;9;5;0.56;0;0
blimey (expr.);utilisé pour exprimer la surprise. l'excitation ou l'alarme;01/02/2022;15;11;0.73;0;0
a proclivity;une propension. une inclination;01/02/2022;14;12;0.86;0;0
dewy;frais / couvert de rosée;01/02/2022;16;14;0.88;0;0
a wad;une boulette (de papier. …);01/02/2023;4;-2;-0.5;0;0
diaper (common name);une couche de bébé;01/02/2023;10;4;0.4;0;0
a showcase;une vitrine;01/03/2021;26;16;0.62;0;0
walk-in (adj.);assez large pour y marcher;01/03/2021;22;15;0.68;0;0
a sticker;un autocollant;01/03/2022;17;15;0.88;0;0
skimming (common name);la fraude fiscale;01/03/2022;17;-5;-0.29;0;0
gooey (adj.);gluant;01/03/2022;21;5;0.24;0;0
a subpoena;une assignation à comparaître;01/04/2022;12;0;0.0;0;0
bleach (common name);l'eau de javel;01/04/2022;21;15;0.71;0;0
thrush (common name);du muguet / une grive / la mycose vaginale;01/04/2022;24;-6;-0.25;0;0
a grove;un bosquet. un jardin;01/04/2022;19;-15;-0.79;1;0
lye (common name);la lessive;01/04/2022;18;4;0.22;0;0
an uptake;une absorption;01/05/2022;16;-14;-0.88;1;0
a reek;une puanteur;01/05/2023;5;-1;-0.2;0;0
bogey (common name);crotte de nez;01/06/2023;2;2;1.0;0;0
a tryst;un rendez-vous galant;01/07/2021;25;11;0.44;0;0
a wallop;un coup. une rossée;01/07/2021;22;18;0.82;0;0
an emporium;un centre commercial;01/07/2021;24;9;0.38;0;0
toddlers;les tout-petits;01/07/2023;3;1;0.33;0;0
a hangman;un pendu;01/07/2023;2;2;1.0;0;0
a thumbnail;un ongle de pouce / une vignette;01/09/2021;22;17;0.77;0;0
grudge (common name);la rancune;01/09/2022;12;-8;-0.67;0;0
a shoe tree;un embauchoir;01/09/2022;18;16;0.89;0;0
a crib;un lit de bébé / une cage;01/09/2022;16;12;0.75;0;0
the quill;la penne (plume);01/11/2018;22;-2;-0.09;0;0
the marrow;la moelle. l'essence;01/11/2018;23;-19;-0.83;1;0
a flurry;une rafale;01/11/2018;22;14;0.64;0;0
hubris (common name);une confiance en soi excessive;01/11/2018;26;8;0.31;0;0
a warp;une distorsion / une chaîne;01/11/2018;23;-2;-0.09;0;0
feral;sauvage;01/11/2018;24;19;0.79;0;0
heirs;les héritiers;01/11/2019;27;21;0.78;0;0
a timeout;un temps mort / une pause;01/11/2022;12;4;0.33;0;0
a toll plaza;un péage;01/11/2022;10;8;0.8;0;0
to weed;désherber;01/11/2022;9;1;0.11;0;0
a pitcher;un pichet. une cruche. un broc;01/11/2022;10;-2;-0.2;0;0
to shrinkwrap;emballer sous papier plastique;01/12/2021;18;10;0.56;0;0
a sink;un évier;01/12/2021;18;12;0.67;0;0
to dabble;barboter;01/12/2021;16;0;0.0;0;0
to traipse;se balader;02/01/2022;19;-5;-0.26;0;0
to garble;brouiller. déformer;02/01/2022;20;-16;-0.8;1;0
a polecat;un putois;02/01/2023;9;-7;-0.78;0;0
and you name it (expr.);et tout ce que vous pouvez imaginer;02/02/2022;19;15;0.79;0;0
to overshoot;dépasser;02/02/2022;15;-11;-0.73;0;0
to choke;étouffer. étrangler;02/02/2022;23;1;0.04;0;0
to bedevil;tourmenter. harceler;02/02/2023;7;-1;-0.14;0;0
to trounce;écraser. battre à plate couture;02/02/2023;9;-9;-1.0;0;0
to clobber;tabasser;02/02/2023;4;0;0.0;0;0
a wavelet;une vaguelette;02/03/2021;26;19;0.73;0;0
a garment;un vêtement. un habit;02/03/2022;16;-12;-0.75;0;0
a shoehorn;un chausse-pied;02/03/2022;8;2;0.25;0;0
to flink;clignoter;02/03/2023;6;0;0.0;0;0
to kibosh (coll.);bousiller;02/04/2022;9;1;0.11;0;0
to rant;divaguer / parler avec emphase;02/04/2022;12;-6;-0.5;0;0
to botch;bousiller. saboter / rafistoler;02/04/2022;8;-2;-0.25;0;0
a flock;un troupeau;02/06/2020;31;14;0.45;0;0
a triteness;une banalité;02/06/2020;33;23;0.7;0;0
a breakwater;une digue;02/06/2020;23;19;0.83;0;0
a prank;une farce;02/06/2020;17;13;0.76;0;0
a pointer;une aiguille;02/06/2020;34;20;0.59;0;0
threadbare;râpé;02/06/2020;26;18;0.69;0;0
adamant (adj.);catégorique;02/06/2020;25;-5;-0.2;0;0
perfunctory (adj.);sommaire;02/06/2020;24;-5;-0.21;0;0
the fortitude;le courage;02/06/2020;32;20;0.62;0;0
clumsy;maladroit;02/06/2020;25;-3;-0.12;0;0
a comittal;un engagement;02/06/2020;22;12;0.55;0;0
a hyphen;un trait-d'union;02/06/2020;23;17;0.74;0;0
overworked;surmené;02/06/2020;28;15;0.54;0;0
a housework;un ménage;02/06/2020;15;9;0.6;0;0
ditto;idem;02/06/2020;27;13;0.48;0;0
downright;carrément;02/06/2020;25;20;0.8;0;0
yeast (common name);de la levure;02/06/2020;36;9;0.25;0;0
a plight;une situation critique;02/06/2020;38;5;0.13;0;0
outwardly;extérieurement;02/06/2020;28;4;0.14;0;0
hackneyed;rebattu;02/06/2020;18;-7;-0.39;0;0
per-say (expr.);en fait;02/06/2021;21;-13;-0.62;0;0
a crossbow;une arbalète;02/06/2022;10;8;0.8;0;0
a knicker;une culotte;02/06/2022;19;9;0.47;0;0
a hovercraft;un aéroglisseur;02/07/2020;17;14;0.82;0;0
daunting;intimidant;02/07/2020;41;19;0.46;0;0
to alight;mettre pied à terre;02/07/2020;25;9;0.36;0;0
the gist;l'essentiel. le point principal;02/07/2020;23;10;0.43;0;0
an eel;une anguille;02/07/2020;27;14;0.52;0;0
a slate;une ardoise;02/07/2020;30;15;0.5;0;0
to spruce up;arranger. mettre en ordre;02/07/2020;27;-2;-0.07;0;0
