English;Français;Date;Nb;Score;Taux;Good image;Différence
to lecture somebody;faire la leçon à quelqu'un;2011-03-09;15;10;0,67;0,9375;-0,27
sheer (adj.);véritable;2011-03-09;16;12;0,75;0,925;-0,18
a haul;un voyage, un trajet;2011-03-09;18;0;0,00;0,9;-0,90
the forehead;le front;2011-03-09;19;15;0,79;0,8875;-0,10
to spurt;gicler, jaillir;2011-03-09;19;2;0,11;0,8875;-0,78
intoxicated;ivre;2011-03-09;21;15;0,71;0,8625;-0,15
to rumble;gronder (tonnerre, …);2011-03-09;21;12;0,57;0,8625;-0,29
to pit sthg to sthg;opposer qc à qc;2011-03-09;21;10;0,48;0,8625;-0,39
havoc (common name);un ravage, un dégat;2011-03-09;22;18;0,82;0,85;-0,03
concrete (common name);le béton;2011-03-09;22;16;0,73;0,85;-0,12
to upset;bouleverser, renverser, désorganiser;2011-03-09;22;1;0,05;0,85;-0,80
to make for;se diriger vers, aller à;2011-03-09;23;19;0,83;0,8375;-0,01
a prejudice;un préjugé;2011-03-09;23;17;0,74;0,8375;-0,10
to loathe;détester, exécrer;2011-03-09;23;11;0,48;0,8375;-0,36
selfsame;identique;2011-03-09;24;18;0,75;0,825;-0,08
to tell off;réprimander;2011-03-09;24;18;0,75;0,825;-0,08
potent;efficace;2011-03-09;24;12;0,50;0,825;-0,33
neat;pur, ordonné;2011-03-09;25;19;0,76;0,8125;-0,05
lust (common name);la convoitise;2011-03-09;25;15;0,60;0,8125;-0,21
nasty;méchant, mauvais;2011-03-09;25;13;0,52;0,8125;-0,29
to recede;s'éloigner, se retirer;2011-03-09;26;20;0,77;0,8;-0,03
a nuke;une arme nucléaire;2011-03-09;26;20;0,77;0,8;-0,03
lavish;prodigue, somptueux;2011-03-09;26;18;0,69;0,8;-0,11
ongoing;progressif, continu;2011-03-09;26;11;0,42;0,8;-0,38
to bail out;tirer d'affaire;2011-03-09;26;-1;-0,04;0,8;-0,84
as it were;pour ainsi dire;2011-03-09;27;19;0,70;0,7875;-0,08
incipient (adj.);naissant;2011-03-09;27;19;0,70;0,7875;-0,08
to enact;décréter (une loi, …);2011-03-09;27;18;0,67;0,7875;-0,12
