Date;% test;% rattrapage
26/06/2018;33;36.0
27/06/2018;43;56.0
03/07/2018;50;74.0
05/07/2018;45;62.0
06/07/2018;43;67.0
08/07/2018;53;80.0
10/07/2018;51;0.0
11/07/2018;62;52.0
12/07/2018;55;79.0
13/07/2018;55;69.0
26/07/2018;51;67.0
10/09/2018;56;74.0
01/10/2018;51;80.0
09/10/2018;53;50.0
15/10/2018;58;71.0
22/10/2018;45;74.0
29/10/2018;64;67.0
05/11/2018;63;68.0
12/11/2018;53;59.0
05/12/2018;49;61.0
10/12/2018;57;70.0
02/01/2019;47;62.0
07/01/2019;48;60.0
14/01/2019;55;53.0
28/01/2019;57;58.0
12/02/2019;48;82.0
15/07/2019;46;38.0
12/08/2019;51;45.0
02/09/2019;55;43.0
01/10/2019;59;55.0
02/10/2019;54;51.0
14/10/2019;57;70.0
18/10/2019;57;74.0
23/10/2019;56;61.0
29/10/2019;57;62.0
06/11/2019;52;58.0
16/12/2019;47;51.0
27/01/2020;50;43.0
11/02/2020;52;56.0
24/02/2020;45;63.0
05/03/2020;45;54.0
10/03/2020;55;62.0
13/04/2020;55;78.0
20/04/2020;53;60.0
11/05/2020;52;78.0
18/05/2020;57;53.0
02/06/2020;62;79.0
22/06/2020;62;79.0
02/07/2020;54;51.0
14/07/2020;61;85.0
21/07/2020;38;60.0
27/07/2020;61;58.0
04/08/2020;59;63.0
10/08/2020;58;55.0
21/12/2020;54;47.0
05/01/2021;61;58.0
25/01/2021;53;64.0
22/02/2021;72;64.0
24/02/2021;55;38.0
25/02/2021;54;67.0
26/02/2021;53;64.0
27/02/2021;56;66.0
28/02/2021;54;54.0
01/03/2021;65;60.0
02/03/2021;54;59.0
03/03/2021;67;73.0
05/03/2021;76;38.0
06/03/2021;71;52.0
07/03/2021;61;59.0
08/03/2021;63;57.0
09/03/2021;58;60.0
10/03/2021;58;64.0
11/03/2021;63;65.0
12/03/2021;74;62.0
13/03/2021;56;57.0
14/03/2021;68;59.0
15/03/2021;61;49.0
16/03/2021;65;69.0
17/03/2021;62;63.0
18/03/2021;65;60.0
19/03/2021;66;82.0
20/03/2021;63;73.0
21/03/2021;76;71.0
22/03/2021;65;66.0
23/03/2021;64;50.0
24/03/2021;65;66.0
25/03/2021;62;55.0
26/03/2021;66;53.0
27/03/2021;78;82.0
28/03/2021;75;60.0
29/03/2021;62;68.0
30/03/2021;62;67.0
31/03/2021;65;69.0
11/04/2021;65;54.0
12/04/2021;74;62.0
13/04/2021;61;49.0
14/04/2021;68;59.0
15/04/2021;59;61.0
16/04/2021;62;39.0
18/04/2021;65;51.0
19/04/2021;67;70.0
20/04/2021;63;71.0
21/04/2021;62;71.0
22/04/2021;60;58.0
23/04/2021;67;61.0
24/04/2021;68;56.0
25/04/2021;70;53.0
26/04/2021;71;79.0
27/04/2021;74;81.0
28/04/2021;69;71.0
29/04/2021;59;71.0
30/04/2021;64;47.0
03/05/2021;66;68.0
05/05/2021;66;62.0
06/05/2021;67;82.0
07/05/2021;65;60.0
10/05/2021;66;50.0
11/05/2021;72;75.0
12/05/2021;72;71.0
13/05/2021;65;63.0
14/05/2021;66;79.0
15/05/2021;67;79.0
16/05/2021;70;73.0
17/05/2021;68;56.0
18/05/2021;68;72.0
18/05/2021;62;76.0
19/05/2021;74;62.0
20/05/2021;69;77.0
25/05/2021;64;72.0
26/05/2021;72;79.0
27/05/2021;68;78.0
28/05/2021;75;72.0
29/05/2021;71;76.0
30/05/2021;69;58.0
31/05/2021;71;79.0
01/06/2021;74;65.0
02/06/2021;74;73.0
03/06/2021;73;78.0
04/06/2021;69;74.0
05/06/2021;71;83.0
06/06/2021;68;81.0
07/06/2021;67;67.0
08/06/2021;77;70.0
09/06/2021;72;71.0
10/06/2021;73;56.0
11/06/2021;74;81.0
12/06/2021;71;69.0
13/06/2021;73;59.0
14/06/2021;72;71.0
15/06/2021;78;95.0
16/06/2021;67;73.0
17/06/2021;75;68.0
18/06/2021;75;64.0
19/06/2021;71;69.0
20/06/2021;68;56.0
21/06/2021;80;80.0
22/06/2021;72;68.0
23/06/2021;74;58.0
24/06/2021;64;64.0
25/06/2021;64;64.0
27/06/2021;65;63.0
28/06/2021;72;61.0
29/06/2021;73;78.0
30/06/2021;72;64.0
01/07/2021;78;73.0
02/07/2021;79;86.0
03/07/2021;73;67.0
04/07/2021;64;78.0
05/07/2021;79;86.0
07/07/2021;77;77.0
08/07/2021;72;79.0
10/07/2021;72;71.0
11/07/2021;78;86.0
13/07/2021;87;85.0
14/07/2021;77;87.0
18/07/2021;75;72.0
19/07/2021;73;78.0
20/07/2021;74;69.0
21/07/2021;71;79.0
22/07/2021;71;74.0
23/07/2021;76;79.0
24/07/2021;77;87.0
25/07/2021;60;65.0
26/07/2021;77;83.0
27/07/2021;83;65.0
28/07/2021;76;62.0
29/07/2021;78;54.0
30/07/2021;77;78.0
31/07/2021;76;79.0
01/08/2021;78;86.0
02/08/2021;73;81.0
03/08/2021;78;80.0
04/08/2021;75;72.0
05/08/2021;76;65.0
06/08/2021;78;82.0
07/08/2021;73;72.0
08/08/2021;79;71.0
09/08/2021;75;80.0
10/08/2021;74;77.0
11/08/2021;79;90.0
12/08/2021;84;69.0
13/08/2021;81;74.0
14/08/2021;77;78.0
15/08/2021;76;88.0
16/08/2021;74;73.0
17/08/2021;73;78.0
18/08/2021;78;82.0
19/08/2021;78;77.0
20/08/2021;78;95.0
22/08/2021;84;63.0
23/08/2021;85;67.0
24/08/2021;80;90.0
25/08/2021;71;69.0
26/08/2021;75;88.0
27/08/2021;76;71.0
28/08/2021;75;76.0
29/08/2021;69;71.0
30/08/2021;79;81.0
31/08/2021;84;88.0
01/09/2021;77;91.0
02/09/2021;79;71.0
03/09/2021;80;85.0
04/09/2021;79;76.0
05/09/2021;76;83.0
06/09/2021;77;70.0
07/09/2021;84;94.0
08/09/2021;83;82.0
09/09/2021;74;74.0
10/09/2021;77;59.0
11/09/2021;72;54.0
12/09/2021;74;72.0
13/09/2021;71;62.0
14/09/2021;74;81.0
15/09/2021;69;73.0
16/09/2021;83;76.0
17/09/2021;83;71.0
17/09/2021;72;82.0
18/09/2021;80;90.0
19/09/2021;75;80.0
20/09/2021;76;74.0
21/09/2021;68;67.0
22/09/2021;76;83.0
23/09/2021;75;76.0
24/09/2021;78;86.0
25/09/2021;79;100.0
26/09/2021;79;71.0
27/09/2021;74;77.0
28/09/2021;74;70.0
29/09/2021;80;89.0
30/09/2021;85;87.0
01/10/2021;79;85.0
02/10/2021;74;87.0
03/10/2021;79;80.0
04/10/2021;78;68.0
05/10/2021;75;92.0
06/10/2021;75;100.0
07/10/2021;80;70.0
08/10/2021;70;73.0
09/10/2021;75;68.0
10/10/2021;78;76.0
11/10/2021;70;90.0
12/10/2021;84;75.0
13/10/2021;81;60.0
14/10/2021;77;54.0
15/10/2021;82;100.0
16/10/2021;84;82.0
17/10/2021;76;79.0
18/10/2021;78;91.0
19/10/2021;79;71.0
20/10/2021;83;93.0
21/10/2021;79;86.0
22/10/2021;75;56.0
23/10/2021;77;78.0
24/10/2021;78;86.0
25/10/2021;85;80.0
26/10/2021;87;77.0
27/10/2021;78;81.0
28/10/2021;82;94.0
29/10/2021;82;76.0
30/10/2021;81;78.0
31/10/2021;77;48.0
01/11/2021;79;91.0
02/11/2021;84;75.0
03/11/2021;84;63.0
04/11/2021;81;89.0
05/11/2021;85;67.0
06/11/2021;85;80.0
07/11/2021;80;90.0
08/11/2021;74;92.0
09/11/2021;79;81.0
10/11/2021;77;74.0
11/11/2021;79;80.0
12/11/2021;85;80.0
16/11/2021;77;83.0
17/11/2021;84;100.0
18/11/2021;80;78.0
19/11/2021;83;75.0
20/11/2021;78;68.0
21/11/2021;76;65.0
22/11/2021;80;80.0
23/11/2021;82;89.0
24/11/2021;82;83.0
25/11/2021;87;77.0
26/11/2021;81;95.0
27/11/2021;78;81.0
28/11/2021;83;82.0
30/11/2021;75;64.0
01/12/2021;80;70.0
02/12/2021;82;61.0
03/12/2021;85;100.0
04/12/2021;82;67.0
05/12/2021;79;76.0
06/12/2021;82;81.0
07/12/2021;80;80.0
08/12/2021;84;76.0
09/12/2021;82;78.0
10/12/2021;85;73.0
11/12/2021;81;68.0
12/12/2021;79;74.0
13/12/2021;87;100.0
14/12/2021;85;69.0
15/12/2021;73;88.0
16/12/2021;81;72.0
17/12/2021;83;76.0
18/12/2021;79;71.0
19/12/2021;75;78.0
20/12/2021;83;76.0
21/12/2021;83;71.0
22/12/2021;79;73.0
23/12/2021;80;80.0
24/12/2021;88;75.0
25/12/2021;77;78.0
26/12/2021;82;78.0
27/12/2021;89;73.0
28/12/2021;84;69.0
29/12/2021;84;80.0
30/12/2021;75;75.0
31/12/2021;84;75.0
01/01/2022;87;62.0
02/01/2022;81;84.0
03/01/2022;79;86.0
04/01/2022;90;78.0
05/01/2022;89;70.0
06/01/2022;82;68.0
07/01/2022;80;84.0
08/01/2022;80;53.0
09/01/2022;79;80.0
10/01/2022;84;80.0
11/01/2022;84;86.0
12/01/2022;80;90.0
13/01/2022;87;82.0
14/01/2022;83;76.0
16/01/2022;84;75.0
17/01/2022;80;90.0
18/01/2022;81;84.0
19/01/2022;84;81.0
20/01/2022;84;81.0
21/01/2022;75;87.0
22/01/2022;83;86.0
23/01/2022;77;73.0
24/01/2022;79;84.0
25/01/2022;83;69.0
26/01/2022;87;100.0
27/01/2022;85;86.0
