Function,ncalls,tottime,percall,cumtime,percall
         123711 function calls (115622 primitive calls) in 0.803 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.803    0.803 C:\Users\benoi\vocabulary\src\interro.py:412(main)
        1    0.000    0.000    0.702    0.702 C:\Users\benoi\vocabulary\src\interro.py:238(run)
       10    0.000    0.000    0.689    0.069 C:\Users\benoi\vocabulary\src\interro.py:156(guess_word)
       20    0.000    0.000    0.689    0.034 C:\Users\benoi\anaconda3\lib\tkinter\messagebox.py:67(_show)
       20    0.000    0.000    0.688    0.034 C:\Users\benoi\anaconda3\lib\tkinter\commondialog.py:30(show)
       61    0.648    0.011    0.648    0.011 {method 'call' of '_tkinter.tkapp' objects}
       10    0.000    0.000    0.362    0.036 C:\Users\benoi\vocabulary\src\interro.py:383(ask_word)
       10    0.000    0.000    0.361    0.036 C:\Users\benoi\anaconda3\lib\tkinter\messagebox.py:82(showinfo)
       10    0.000    0.000    0.327    0.033 C:\Users\benoi\vocabulary\src\interro.py:392(check_word)
       10    0.000    0.000    0.327    0.033 C:\Users\benoi\anaconda3\lib\tkinter\messagebox.py:114(askyesnocancel)
        1    0.000    0.000    0.061    0.061 C:\Users\benoi\vocabulary\src\interro.py:123(load_data)
        1    0.000    0.000    0.046    0.046 C:\Users\benoi\vocabulary\src\interro.py:116(get_raw_data)
       20    0.000    0.000    0.039    0.002 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:3110(__init__)
       20    0.000    0.000    0.039    0.002 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:2560(__init__)
       20    0.000    0.000    0.039    0.002 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:2530(_setup)
       20    0.000    0.000    0.039    0.002 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:291(_get_default_root)
        1    0.000    0.000    0.038    0.038 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:2250(__init__)
        1    0.038    0.038    0.038    0.038 {built-in method _tkinter.create}
        1    0.000    0.000    0.038    0.038 C:\Users\benoi\vocabulary\src\interro.py:103(set_data_paths)
        1    0.000    0.000    0.038    0.038 C:\Users\benoi\vocabulary\src\interro.py:90(set_os_separator)
        1    0.000    0.000    0.038    0.038 C:\Users\benoi\vocabulary\src\interro.py:81(get_os_type)
        1    0.000    0.000    0.038    0.038 C:\Users\benoi\anaconda3\lib\platform.py:1164(platform)
        2    0.000    0.000    0.038    0.019 C:\Users\benoi\anaconda3\lib\platform.py:356(win32_ver)
        2    0.000    0.000    0.038    0.019 C:\Users\benoi\anaconda3\lib\platform.py:258(_syscmd_ver)
        2    0.000    0.000    0.038    0.019 C:\Users\benoi\anaconda3\lib\subprocess.py:368(check_output)
        2    0.000    0.000    0.038    0.019 C:\Users\benoi\anaconda3\lib\subprocess.py:452(run)
        1    0.000    0.000    0.034    0.034 C:\Users\benoi\vocabulary\src\interro.py:370(update_data)
    26/16    0.000    0.000    0.031    0.002 C:\Users\benoi\anaconda3\lib\site-packages\pandas\util\_decorators.py:323(wrapper)
     12/8    0.000    0.000    0.031    0.004 C:\Users\benoi\anaconda3\lib\site-packages\pandas\util\_decorators.py:170(wrapper)
        2    0.000    0.000    0.024    0.012 C:\Users\benoi\anaconda3\lib\subprocess.py:984(communicate)
        2    0.023    0.011    0.023    0.011 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.020    0.020 C:\Users\benoi\anaconda3\lib\platform.py:752(uname)
        4    0.000    0.000    0.019    0.005 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:3536(to_csv)
       59    0.000    0.000    0.018    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:301(apply)
        4    0.000    0.000    0.018    0.005 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\format.py:1139(to_csv)
        4    0.000    0.000    0.017    0.004 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:236(save)
        1    0.000    0.000    0.016    0.016 C:\Users\benoi\vocabulary\src\interro.py:316(transfer_well_known_words)
        2    0.000    0.000    0.014    0.007 C:\Users\benoi\anaconda3\lib\subprocess.py:736(__init__)
        2    0.000    0.000    0.013    0.007 C:\Users\benoi\anaconda3\lib\subprocess.py:1228(_execute_child)
        2    0.013    0.007    0.013    0.007 {built-in method _winapi.CreateProcess}
        1    0.000    0.000    0.013    0.013 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:5715(replace)
        1    0.000    0.000    0.013    0.013 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:7088(replace)
        1    0.000    0.000    0.013    0.013 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:474(replace_regex)
        3    0.000    0.000    0.013    0.004 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:636(_replace_regex)
        1    0.000    0.000    0.013    0.013 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\array_algos\replace.py:120(replace_regex)
        1    0.000    0.000    0.013    0.013 C:\Users\benoi\anaconda3\lib\site-packages\numpy\lib\function_base.py:2301(__call__)
        1    0.001    0.001    0.013    0.013 C:\Users\benoi\anaconda3\lib\site-packages\numpy\lib\function_base.py:2400(_vectorize_call)
        4    0.000    0.000    0.012    0.003 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:854(read_csv)
        4    0.000    0.000    0.012    0.003 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:571(_read)
        4    0.000    0.000    0.012    0.003 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:263(_save)
        4    0.000    0.000    0.012    0.003 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:296(_save_body)
     6969    0.003    0.000    0.011    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\array_algos\replace.py:150(re_replacer)
        4    0.000    0.000    0.011    0.003 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:306(_save_chunk)
       10    0.000    0.000    0.011    0.001 C:\Users\benoi\vocabulary\src\interro.py:215(update_voc_df)
       20    0.000    0.000    0.011    0.001 C:\Users\benoi\anaconda3\lib\tkinter\__init__.py:2577(destroy)
       44    0.000    0.000    0.010    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:806(__setitem__)
32633/25583    0.004    0.000    0.010    0.000 {built-in method builtins.isinstance}
       32    0.000    0.000    0.009    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:609(__init__)
        4    0.000    0.000    0.009    0.002 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1762(read)
