english;français;Date;Nb;Score;Taux;image
a slump;une baisse. un effondrement;2011-03-09;29;11;0.38;76.25
to deliver;distribuer;2011-03-09;22;17;0.77;85.0
hectic;(rythme) effréné;2011-03-09;22;17;0.77;85.0
to dump;décharger. déverser;2011-03-09;33;17;0.52;71.25
commodious;spacieux;2011-03-09;27;6;0.22;78.75
to deter from;détourner de;2011-03-09;25;13;0.52;81.25
to bail out;tirer d'affaire;2011-03-09;19;-6;-0.32;88.75
potent;efficace;2011-03-09;17;7;0.41;91.25
to blast;détruire. faire exploser;2011-03-09;16;-5;-0.31;92.5
a comb;un peigne;2011-03-09;27;21;0.78;78.75
to showe;pousser. faire marcher;2011-03-09;23;-7;-0.3;83.75
a haul;un voyage. un trajet;2011-03-09;11;-3;-0.27;98.75
a syllabus;un programme scolaire;2011-03-09;30;20;0.67;75.0
an armchair;un fauteuil;2011-03-09;21;14;0.67;86.25
an outbreak;une éruption. une explosion;2011-03-09;24;16;0.67;82.5
a brace;un lien. une attache;2011-03-09;20;-5;-0.25;87.5
to wane;décroître. décliner;2011-03-09;21;11;0.52;86.25
hazy;vague;2011-03-09;19;10;0.53;88.75
merely;seulement;2011-03-09;25;16;0.64;81.25
to spurt;gicler. jaillir;2011-03-09;13;-2;-0.15;96.25
to clutter;encombrer;2011-03-09;31;20;0.65;73.75
a nuke;une arme nucléaire;2011-03-09;17;11;0.65;91.25
a crack-down;des mesures de répression;2011-03-09;10;4;0.4;100.0
a venture;un risque;2011-03-09;17;11;0.65;91.25
scant (adj.);insuffisant. peu abondant;2011-03-09;26;9;0.35;80.0
electrical appliances;les appareils électro-ménagers;2011-03-09;17;11;0.65;91.25
the circulation;le tirage;2011-03-09;26;-5;-0.19;80.0
in the limelight;sous les feux de la rampe;2011-03-09;23;18;0.78;83.75
go-ahead;actif;2011-03-09;23;18;0.78;83.75
a pit;une fosse;2011-03-09;20;13;0.65;87.5
to upset;bouleverser. renverser. désorganiser;2011-03-09;14;-3;-0.21;95.0
to enact;décréter (une loi. );2011-03-09;19;10;0.53;88.75
to rasp;grincer / racler;2011-03-09;31;6;0.19;73.75
to evade;éviter;2011-03-09;25;16;0.64;81.25
a devolution;une délocalisation;2011-03-09;17;4;0.24;91.25
nasty;méchant. mauvais;2011-03-09;16;4;0.25;92.5
Be that as it may. ;Ceci étant. ;2011-03-09;22;10;0.45;85.0
a dam;un barrage;2011-03-09;24;18;0.75;82.5
to make for;se diriger vers. aller à;2011-03-09;16;12;0.75;92.5
to pledge;promettre (solennellement);2011-03-09;27;20;0.74;78.75
a misconception;une idée fausse;2011-03-09;30;22;0.73;75.0
to rumble;gronder (tonnerre. );2011-03-09;13;6;0.46;96.25
a bargain;un marché. une affaire;2011-03-09;26;19;0.73;80.0
to steer;gouverner. diriger;2011-03-09;22;7;0.32;85.0
to hint;insinuer. suggérer;2011-03-09;29;21;0.72;76.25
a lane;une voie d'autoroute;2011-03-09;29;21;0.72;76.25
to harvest;récupérer;2011-03-09;23;10;0.43;83.75
to bloat;gonfler;2011-03-09;23;10;0.43;83.75
to monitor;surveiller;2011-03-09;29;21;0.72;76.25
a staunch;une valeur sûre;2011-03-09;28;8;0.29;77.5
to harness;exploiter;2011-03-09;21;6;0.29;86.25
to fancy;s'imaginer;2011-03-09;21;15;0.71;86.25
to wither;se dessécher. se faner;2011-03-09;34;24;0.71;70.0
ongoing;progressif. continu;2011-03-09;20;5;0.25;87.5
the hability; la capacité;2011-03-09;22;15;0.68;85.0
fatuous;imbécile. idiot;2011-03-09;21;-8;-0.38;86.25
hasty;précipité. sommaire;2011-03-09;16;11;0.69;92.5
thrifty;économe;2011-03-09;38;16;0.42;65.0
backward (adj.) / a backward;tardif / un retard;2011-03-09;19;-8;-0.42;88.75
to keen;désirer;2011-03-09;34;23;0.68;70.0
a hardship;une fatigue. une épreuve;2011-03-09;29;20;0.69;76.25
to pit sthg to sthg;opposer qc à qc;2011-03-09;15;4;0.27;93.75
scarcely;à peine;2011-03-09;23;16;0.7;83.75
a streak;une rayure. une trace;2011-03-09;27;19;0.7;78.75
well-to-do;aisé. riche;2011-03-09;17;12;0.71;91.25
allegedly;prétendument;2011-03-09;17;12;0.71;91.25
as it were;pour ainsi dire;2011-03-09;14;6;0.43;95.0
havoc (common name);un ravage. un dégat;2011-03-09;13;9;0.69;96.25
seldom (adv.);rarement;2011-03-09;28;15;0.54;77.5
blinkered;borné;2011-03-09;18;-3;-0.17;90.0
the forehead;le front;2011-03-09;11;7;0.64;98.75
lust (common name);la convoitise;2011-03-09;18;10;0.56;90.0
to be flustered;être troublé;2011-03-09;18;10;0.56;90.0
to get a tan;bronzer;2011-03-09;18;10;0.56;90.0
to scorn;mépriser;2011-03-09;18;10;0.56;90.0
to thrive;bien se porter / prospérer;2011-03-09;19;7;0.37;88.75
genuine;authentique;2011-03-09;17;14;0.82;91.25
lavish;prodigue. somptueux;2011-03-09;13;7;0.54;96.25
to sweep;balayer;2011-03-09;26;16;0.62;80.0
to wrench;tordre;2011-03-09;18;11;0.61;90.0
a thrust;une poussée;2011-03-09;18;11;0.61;90.0
a solicitor (UK);un avocat (UK);2011-03-09;18;11;0.61;90.0
stately (adj.);majestueux. imposant;2011-03-09;24;3;0.13;82.5
sheer (adj.);véritable;2011-03-09;10;6;0.6;100.0
to tell off;réprimander;2011-03-09;15;9;0.6;93.75
neat;pur. ordonné;2011-03-09;15;9;0.6;93.75
to recede;s'éloigner. se retirer;2011-03-09;15;9;0.6;93.75
